pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.16407,0.16512,-0.034299,-0.41076,0.0060786,0.08398,0.017709,-0.0016271
0.16476,0.16505,0.034299,-0.40852,0.0059674,0.0838,-0.028092,-0.0026155
0.16407,0.16474,-0.034299,-0.41444,0.0048934,0.083598,-0.058626,-1.4549e-05
0.16476,0.16479,0.034299,-0.4205,0.0054607,0.083447,0.063511,0.0047545
0.16407,0.16457,-0.034299,-0.41924,0.0048268,0.083391,0.0024422,0.0072438
0.16476,0.16469,0.034299,-0.42049,0.0056646,0.083384,0.017709,0.0093746
0.16544,0.16505,0.034299,-0.40316,0.0073407,0.083426,0.032977,0.0025377
0.14349,0.1567,-1.0976,-0.39545,-0.02655,0.083329,-0.073894,-0.00501
0.16407,0.15901,1.029,-0.39351,-0.013242,0.083087,0.032977,-0.010068
0.17162,0.16364,0.37729,-0.39461,0.0079349,0.082745,-0.089161,-0.011907
0.15858,0.16177,-0.65169,-0.39332,0.00027396,0.082363,-0.10443,-0.012742
0.16476,0.1629,0.30869,-0.38992,0.0056697,0.081967,-0.028092,-0.013943
0.16407,0.16342,-0.034299,-0.39107,0.0079912,0.081547,-0.073894,-0.013188
0.16476,0.16406,0.034299,-0.39155,0.010488,0.081141,-0.043359,-0.011571
0.16407,0.16422,-0.034299,-0.39047,0.010793,0.080768,0.0024422,-0.010222
0.1723,0.16756,0.41159,-0.39414,0.023924,0.080423,0.0024422,-0.0069052
0.17162,0.16958,-0.034299,-0.39404,0.030203,0.080143,-0.028092,-0.0042584
0.17162,0.17093,0,-0.39708,0.033053,0.079915,-0.043359,-0.00068613
0.17162,0.17181,0,-0.39815,0.03365,0.079758,-0.058626,0.002377
0.17162,0.17236,0,-0.40179,0.032833,0.079661,-0.089161,0.0061834
0.1723,0.17295,0.034299,-0.40122,0.032264,0.079641,-0.058626,0.0083177
0.1723,0.17329,0,-0.40132,0.030784,0.079663,0.017709,0.0096343
0.1723,0.17347,0,-0.40266,0.028811,0.07971,-0.012825,0.010962
0.17162,0.17327,-0.034299,-0.40027,0.025524,0.079785,-0.028092,0.010501
0.17162,0.17308,0,-0.4041,0.022676,0.07985,-0.028092,0.011848
0.17162,0.17291,0,-0.39843,0.020213,0.079943,-0.043359,0.0098314
