pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.045393,0.043431,-0.68599,4.1104,-0.33003,1.8983,-73.799,-61.287
0.042649,0.036571,-0.1372,2.3642,-0.3263,0.67271,-83.066,-56.585
0.029615,0.027374,-0.65169,1.2158,-0.32899,-0.45884,-61.662,-50.562
0.026186,0.020352,-0.1715,-0.22099,-0.31844,-1.47,-73.57,-43.862
0.013152,0.011128,-0.65169,-1.8124,-0.31369,-2.3473,-86.685,-36.979
0.0069779,0.0031432,-0.30869,-3.1961,-0.30066,-3.0872,-71.601,-30.394
0.0042339,-0.0025532,-0.1372,-4.1923,-0.27704,-3.6954,-41.341,-24.473
0.0076639,-0.0041912,0.1715,-4.6981,-0.2381,-4.1852,-29.188,-19.462
-0.002626,-0.0084356,-0.51449,-5.1418,-0.2129,-4.5747,-20.639,-15.27
-0.013602,-0.014797,-0.54879,-5.3713,-0.19843,-4.8803,-6.7304,-11.875
-0.017718,-0.019956,-0.2058,-5.3394,-0.18062,-5.1179,0.24672,-9.2499
-0.020462,-0.023792,-0.1372,-5.3675,-0.15927,-5.303,-1.9365,-7.1925
-0.02252,-0.026493,-0.1029,-5.4454,-0.1355,-5.4469,0.42992,-5.5565
-0.027322,-0.029522,-0.2401,-5.3911,-0.11584,-5.558,0.49099,-4.3173
-0.033495,-0.033384,-0.30869,-5.438,-0.10166,-5.6443,-0.24183,-3.3328
-0.026636,-0.032752,0.34299,-5.4311,-0.070838,-5.7109,0.5826,-2.5757
-0.036925,-0.035774,-0.51449,-5.4198,-0.058419,-5.7624,-0.37924,-1.9958
-0.034181,-0.03629,0.1372,-5.4731,-0.037102,-5.8022,-0.089161,-1.5218
-0.034181,-0.036176,0,-5.505,-0.015608,-5.8325,0.35359,-1.1448
-0.030066,-0.034062,0.2058,-5.5127,0.011549,-5.8553,-0.13496,-0.85627
-0.030066,-0.032232,0,-5.5219,0.034435,-5.8723,0.032977,-0.63486
-0.033495,-0.032003,-0.1715,-5.5225,0.048172,-5.8849,0.13985,-0.46901
-0.033495,-0.031591,0,-5.5514,0.061134,-5.8942,0.017709,-0.33195
-0.036925,-0.032426,-0.1715,-5.574,0.067582,-5.9008,0.20092,-0.22184
-0.026636,-0.028773,0.51449,-5.5691,0.091501,-5.9051,0.0024422,-0.14621
