-0.0032064,0.017385,0.12732,1.3755
0.003369,75.667,0.15099,1.2859
1.5452,89.781,0.14849,0.93585
2.8469,75.616,0.14086,0.61613
3.8062,57.781,0.1354,0.39654
4.5238,43.749,0.13753,0.31066
5.4173,34.979,0.13504,0.19212
6.2443,23.969,0.13275,0.10223
6.8268,14.487,0.13102,0.038671
7.3127,7.1033,0.12415,-0.066686
7.5076,-1.0377,0.11942,-0.1232
7.3008,-4.5949,0.12055,-0.10168
6.8167,-0.95225,0.11883,-0.11483
6.3942,2.6608,0.10943,-0.20607
5.9958,1.3723,0.11354,-0.12698
5.9622,5.5089,0.097333,-0.2879
6.2694,-5.025,0.085417,-0.36317
6.2731,-14.429,0.084976,-0.29604
6.2476,-15.459,0.076439,-0.33401
5.6502,-17.046,0.07947,-0.23479
4.4644,-6.4256,0.066524,-0.32868
3.867,-4.7269,0.067862,-0.24288
3.4298,1.3013,0.072365,-0.14325
3.7547,4.9542,0.065035,-0.19816
4.235,-2.6023,0.053558,-0.28546
4.4954,-13.474,0.052864,-0.23546
4.1727,-14.286,0.047525,-0.24726
3.4955,-12.437,0.027664,-0.41042
2.6603,-16.637,0.031359,-0.27519
2.0757,-8.1859,0.014166,-0.39863
1.9767,-14.184,0.015042,-0.29562
1.5212,-11.135,0.020609,-0.16638
1.1333,-3.2231,0.0039466,-0.3084
1.0096,-9.7161,0.0044343,-0.22882
0.93073,-9.0164,-0.00034857,-0.22662
0.76495,-10.279,-0.00016048,-0.17055
0.23787,-6.5674,-0.0061112,-0.1928
-0.11119,-5.4973,-0.016977,-0.26146
-0.12144,-10.179,-0.018729,-0.21489
-0.38393,-10.043,-0.026932,-0.24891
-1.0006,-10.275,-0.038671,-0.31013
-1.4469,-12.191,-0.036009,-0.19937
-2.0105,-5.6929,-0.0473,-0.26545
-2.2849,-7.6113,-0.049695,-0.21789
-2.5593,-6.3809,-0.057858,-0.24394
-2.7491,-8.67,-0.059547,-0.19297
-3.0362,-7.3419,-0.061303,-0.15471
-3.3748,-4.9817,-0.060485,-0.09702
-3.3925,-2.5422,-0.062889,-0.088894
-3.29,-3.9454,-0.066187,-0.092753
-3.351,-5.981,-0.079591,-0.20449
-3.5985,-12.475,-0.075769,-0.1012
-4.2405,-6.3409,-0.075939,-0.06498
-4.547,-1.3252,-0.078742,-0.065386
-4.462,-1.4569,-0.075133,0.0031398
-4.2732,-0.51463,-0.080937,-0.047996
-4.3114,-4.2779,-0.088852,-0.1085
-4.5874,-7.7188,-0.08629,-0.039754
-4.9765,-3.2948,-0.082166,0.029651
