ref,pos_o,vel_o,ang_o,vel_ang_o
0,0.00026514,-0.0020126,-0.010128,-0.30622
0,0.00017756,-0.0023421,-0.016221,-0.11041
0,0.00038673,-0.0014161,-0.018398,-0.039092
0,0.00026364,-0.0019388,-0.019148,0.1588
0,0.00017821,-0.0022432,-0.015941,0.18342
0,0.00038862,-0.0013133,-0.012242,0.13227
0,0.00026594,-0.0018438,-0.0095678,0.24423
0,0.00018012,-0.0021575,-0.0046561,0.21106
0,0.00012063,-0.0023189,-0.00041103,0.12461
0,0.00034946,-0.0012916,0.0021038,0.03193
0,0.00024034,-0.0017616,0.0027646,0.13897
0,0.00016364,-0.0020259,0.0055635,0.12234
0,0.00011163,-0.0021657,0.0080294,0.055991
0,7.6976e-05,-0.0022211,0.0091678,-0.016148
0,0.00032308,-0.0011226,0.008862,-0.071967
0,0.00049403,-0.00043976,0.0074378,0.08052
0,0.00034235,-0.0011295,0.0090614,0.28716
0,0.00023585,-0.0015499,0.014817,0.28481
0,0.00043074,-0.00069905,0.020523,0.19398
0,0.00029696,-0.0012857,0.02441,0.2653
0,0.00047174,-0.00054253,0.029722,0.19859
0,0.00032309,-0.0011906,0.033696,0.27068
0,0.00021991,-0.0015951,0.039113,0.18894
0,0.00068474,0.00038027,0.042889,0.064892
0,0.00046883,-0.00063552,0.044183,0.31319
0,0.00031725,-0.0012771,0.050442,0.28278
0,0.00021207,-0.001671,0.056093,0.13859
0,0.00040838,-0.00079788,0.058858,-0.025117
0,0.0002758,-0.0013544,0.058348,0.021851
0,0.00018286,-0.0016568,0.058772,-0.036035
0,0.00038885,-0.00070682,0.058039,-0.12274
0,0.00026394,-0.0011987,0.05557,-0.01187
0,0.00017865,-0.0014772,0.055321,-0.027446
0,0.00012129,-0.001611,0.05476,-0.085709
0,8.2432e-05,-0.0016227,0.053029,-0.13751
0,5.8047e-05,-0.001557,0.050262,-0.16794
0,0.00031397,-0.00036822,0.046887,-0.17698
0,0.00022481,-0.0007126,0.043333,0.019985
0,0.0004325,0.00019811,0.043718,0.081245
0,0.00030809,-0.00034249,0.045327,0.26248
0,0.0002215,-0.00066902,0.050561,0.267
0,0.00016155,-0.00084778,0.055883,0.19687
0,0.00012056,-0.00092262,0.059799,0.10908
0,9.3083e-05,-0.00092151,0.061957,0.033058
0,0.00034512,0.00020869,0.062594,-0.023373
0,0.00025146,-0.0001797,0.0621,0.13034
0,0.00018693,-0.00040776,0.06468,0.15027
0,0.00041062,0.00058235,0.067656,0.1169
0,0.00056641,0.0011741,0.069965,0.24892
0,0.00040409,0.00040182,0.074912,0.41524
0,0.00055777,0.0010087,0.083184,0.36966
0,0.00039419,0.00024169,0.090543,0.41962
0,0.00054747,0.00084335,0.098899,0.30123
0,0.00038265,8.8945e-05,0.10488,0.31554
0,0.00053631,0.00069187,0.11115,0.18017
0,0.00091028,0.0021079,0.11472,0.18919
0,0.0008972,0.0017788,0.11846,0.42814
0,0.00061396,0.00037849,0.12698,0.50943
0,0.00041222,-0.00051991,0.13713,0.31268
0,0.00053996,1.7078e-06,0.14333,0.026605
0,0.00035924,-0.0008065,0.14382,-0.061025
0,0.00023281,-0.0012938,0.14255,-0.23622
0,0.00041462,-0.00046178,0.13778,-0.40552
0,0.00027422,-0.0010469,0.12962,-0.34831
0,0.0001783,-0.001386,0.12262,-0.38645
0,0.00011423,-0.0015597,0.11485,-0.44348
0,0.00034172,-0.00053284,0.10595,-0.48333
0,0.00023304,-0.00099105,0.096247,-0.30932
0,0.00042758,-0.00015969,0.090033,-0.25718
0,0.00056252,0.00035197,0.084862,-0.066927
0,0.00038664,-0.00045578,0.083497,0.14294
0,0.0002634,-0.00094936,0.086329,0.13438
0,0.00044694,-0.00013912,0.088989,0.038736
0,0.00057452,0.00034753,0.089735,0.11097
0,0.00039285,-0.00047486,0.091925,0.23376
0,0.00026583,-0.00098435,0.096571,0.16151
0,0.0001783,-0.0012865,0.099771,0.020522
0,0.00038708,-0.00034351,0.10015,-0.11757
0,0.00053327,0.00022636,0.097768,-0.042078
0,0.00063385,0.00054584,0.096896,0.10567
0,0.00043297,-0.00040059,0.098981,0.24905
0,0.000292,-0.0010033,0.10393,0.1699
0,0.00019415,-0.0013742,0.1073,0.011142
0,0.00039589,-0.00049358,0.1075,-0.14952
0,0.00053612,3.6158e-05,0.10448,-0.091275
0,0.00036348,-0.00076244,0.10262,0.044354
0,0.00024289,-0.0012602,0.10348,-0.0024856
0,0.00069747,0.00062476,0.10341,-0.114
0,0.00074358,0.00061615,0.1011,0.13863
0,0.00077168,0.00053706,0.10385,0.29744
0,0.00078758,0.00040031,0.10978,0.37357
0,0.00052508,-0.00085313,0.11722,0.38898
0,0.00060828,-0.00056018,0.12498,0.17806
0,0.0003941,-0.0014887,0.1285,0.098346
0,0.00051426,-0.00096774,0.13044,-0.10841
0,0.00032995,-0.0017714,0.12824,-0.14398
0,0.00020268,-0.0022643,0.12534,-0.28734
0,0.00011561,-0.0025322,0.11956,-0.43641
0,0.00032525,-0.0015284,0.11081,-0.53982
0,0.00047416,-0.00089227,0.099987,-0.40844
0,0.00057914,-0.00051483,0.091799,-0.19724
0,0.00065165,-0.00031431,0.087838,0.011789
0,0.00043142,-0.0013236,0.088059,0.18019
0,0.00027786,-0.0019585,0.09165,0.10818
0,0.00044023,-0.0012409,0.0938,-0.047125
0,0.00028421,-0.0018975,0.092843,-0.019232
0,0.00017628,-0.0022818,0.092443,-0.10775
0,0.00010261,-0.0024733,0.090273,-0.21913
